Model,criterion,splitter,max_depth,min_samples_split,max_features,MSE,RMSE,MAE
Model_11,squared_error,random,5,5,,1.5119786197830183,1.2295279713046654,0.9603482338467704
Model_9,squared_error,random,5,2,,1.5407915559577883,1.2411296181238909,0.9690588629604366
Model_1,squared_error,best,5,2,,1.5435279736029002,1.2415758278835956,0.9652696259270519
Model_3,squared_error,best,5,5,,1.5435279736029002,1.2415758278835956,0.9652696259270519
Model_4,squared_error,best,5,5,sqrt,1.5732150772224103,1.2539071058860816,0.972163459428636
Model_19,absolute_error,best,5,5,,1.5800503251414315,1.256640959953227,0.9233262362174818
Model_17,absolute_error,best,5,2,,1.5800588514334708,1.2566443201642454,0.9233316058804661
Model_25,absolute_error,random,5,2,,1.5810038416553467,1.2572212094563233,0.9370458609222867
Model_12,squared_error,random,5,5,sqrt,1.5814850574345423,1.2572767690329982,0.969438499250764
Model_10,squared_error,random,5,2,sqrt,1.5814850574345423,1.2572767690329982,0.969438499250764
Model_27,absolute_error,random,5,5,,1.5838198280026918,1.2583386124041065,0.9371518719277827
Model_2,squared_error,best,5,2,sqrt,1.5974018171041142,1.263332074233205,0.9773815903202558
Model_26,absolute_error,random,5,2,sqrt,1.6136651936330058,1.2700229902755995,0.957430061241643
Model_28,absolute_error,random,5,5,sqrt,1.6136651936330058,1.2700229902755995,0.957430061241643
Model_20,absolute_error,best,5,5,sqrt,1.6419730783361661,1.2810744048157747,0.9446068772824047
Model_18,absolute_error,best,5,2,sqrt,1.643869473122318,1.281824193347457,0.9450440929586794
Model_14,squared_error,random,10,2,sqrt,1.6500256380957752,1.2843174388352439,0.99534996826055
Model_15,squared_error,random,10,5,,1.6945279790781878,1.3013812299447947,0.9919117240171799
Model_16,squared_error,random,10,5,sqrt,1.7030718424427236,1.304857788209075,1.0034852720826781
Model_30,absolute_error,random,10,2,sqrt,1.7298336757416561,1.3148987283207232,0.9590617616444945
Model_13,squared_error,random,10,2,,1.7309704931719114,1.3145387995298345,0.999673595255859
Model_24,absolute_error,best,10,5,sqrt,1.8049465356666672,1.3429823675239458,0.9624156403681118
Model_8,squared_error,best,10,5,sqrt,1.8099365613049752,1.3437516387039288,1.016591700799372
Model_29,absolute_error,random,10,2,,1.817038454598239,1.3467138750705425,0.9564250815204914
Model_32,absolute_error,random,10,5,sqrt,1.8274599467947965,1.3517384271766617,0.9815090663988505
Model_31,absolute_error,random,10,5,,1.845030930936946,1.3578017529849897,0.9662362839763091
Model_7,squared_error,best,10,5,,1.877725986662762,1.369326515418459,1.0167955186350004
Model_21,absolute_error,best,10,2,,1.8869105733359237,1.3731002173647044,0.971112356708295
Model_23,absolute_error,best,10,5,,1.9006174157933315,1.3780181841634314,0.9780614811365638
Model_5,squared_error,best,10,2,,1.9020225357557237,1.378011933155739,1.0219816716425418
Model_22,absolute_error,best,10,2,sqrt,1.9061909172610676,1.379315888663639,0.9961262099152579
Model_6,squared_error,best,10,2,sqrt,1.9063126181759347,1.3796258655172005,1.0412403523418008
